audit_factor,downstream_factor,standardized_contribution
count,count,
count,attribute,
count,presence,
count,spatial,
attribute,count,
attribute,attribute,
attribute,presence,
attribute,spatial,
presence,count,
presence,attribute,
presence,presence,
presence,spatial,
spatial,count,
spatial,attribute,
spatial,presence,
spatial,spatial,
