factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp,epsilon_pp,role
attribute,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.82,0.805,0.014999999999999902,1.4999999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,post_hoc_sensitivity
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,3.0,post_hoc_sensitivity
count,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.625,0.635,0.010000000000000009,1.0000000000000009,0.013725490196078438,1.3725490196078438,0.019073083778966105,1.9073083778966105,0.07,7.000000000000001,0.29000000000000004,29.000000000000004,3.0,post_hoc_sensitivity
count,Skywork,LLaVA,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.76,0.785,0.025000000000000022,2.500000000000002,0.2073756761951836,20.73756761951836,0.0008787104923524414,0.08787104923524414,0.24,24.0,0.07999999999999996,7.9999999999999964,3.0,post_hoc_sensitivity
count,Idefics3,LLaVA,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.815,0.785,0.029999999999999916,2.9999999999999916,0.2935206869633099,29.352068696330992,0.031399080579408434,3.1399080579408434,0.29000000000000004,29.000000000000004,0.0,0.0,3.0,post_hoc_sensitivity
presence,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.895,0.92,0.025000000000000022,2.500000000000002,0.26111111111111107,26.111111111111107,0.02777777777777779,2.777777777777779,0.32999999999999996,32.99999999999999,0.12,12.0,3.0,post_hoc_sensitivity
presence,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.895,0.885,0.010000000000000009,1.0000000000000009,0.020000000000000018,2.0000000000000018,0.0,0.0,0.015000000000000013,1.5000000000000013,0.0050000000000000044,0.5000000000000004,3.0,post_hoc_sensitivity
presence,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.795,0.79,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.005050251256281446,0.5050251256281446,0.26,26.0,0.010000000000000009,1.0000000000000009,3.0,post_hoc_sensitivity
presence,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.795,0.8,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.26,26.0,0.015000000000000013,1.5000000000000013,3.0,post_hoc_sensitivity
presence,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.79,0.8,0.010000000000000009,1.0000000000000009,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0,0.0,0.0050000000000000044,0.5000000000000004,3.0,post_hoc_sensitivity
spatial,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.8,0.785,0.015000000000000013,1.5000000000000013,0.11499999999999999,11.5,0.0,0.0,0.11499999999999999,11.5,0.0,0.0,3.0,post_hoc_sensitivity
spatial,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.66,0.64,0.020000000000000018,2.0000000000000018,0.15135135135135142,15.135135135135142,0.006756756756756799,0.6756756756756799,0.25500000000000006,25.500000000000007,0.265,26.5,3.0,post_hoc_sensitivity
spatial,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.66,0.685,0.025000000000000022,2.500000000000002,0.5163513513513514,51.63513513513514,0.006756756756756799,0.6756756756756799,0.6200000000000001,62.000000000000014,0.265,26.5,3.0,post_hoc_sensitivity
spatial,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.845,0.8484848484848485,0.003484848484848535,0.3484848484848535,0.38604166666666667,38.604166666666664,0.015625,1.5625,0.40499999999999997,40.5,0.05500000000000005,5.500000000000005,3.0,post_hoc_sensitivity
attribute,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.82,0.805,0.014999999999999902,1.4999999999999902,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,5.0,post_hoc_sensitivity
attribute,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.82,0.805,0.014999999999999902,1.4999999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,post_hoc_sensitivity
attribute,Qwen,InternVL,qwen3_vl_4b_instruct,internvl3_8b_hf,0.82,0.855,0.03500000000000003,3.500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,post_hoc_sensitivity
attribute,Gemma,Idefics3,gemma3_4b_it,idefics3_8b_llama3,0.725,0.765,0.040000000000000036,4.0000000000000036,0.048128342245989275,4.8128342245989275,0.0267379679144385,2.67379679144385,0.10999999999999999,10.999999999999998,0.08999999999999997,8.999999999999996,5.0,post_hoc_sensitivity
attribute,Idefics3,Phi,idefics3_8b_llama3,phi35_vision_instruct,0.765,0.805,0.040000000000000036,4.0000000000000036,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,5.0,post_hoc_sensitivity
attribute,Idefics3,LLaVA,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.765,0.805,0.040000000000000036,4.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,post_hoc_sensitivity
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,5.0,post_hoc_sensitivity
attribute,Phi,InternVL,phi35_vision_instruct,internvl3_8b_hf,0.805,0.855,0.04999999999999993,4.999999999999993,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004,5.0,post_hoc_sensitivity
attribute,LLaVA,InternVL,llava_onevision_qwen2_7b,internvl3_8b_hf,0.805,0.855,0.04999999999999993,4.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,post_hoc_sensitivity
count,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.625,0.635,0.010000000000000009,1.0000000000000009,0.013725490196078438,1.3725490196078438,0.019073083778966105,1.9073083778966105,0.07,7.000000000000001,0.29000000000000004,29.000000000000004,5.0,post_hoc_sensitivity
count,Skywork,LLaVA,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.76,0.785,0.025000000000000022,2.500000000000002,0.2073756761951836,20.73756761951836,0.0008787104923524414,0.08787104923524414,0.24,24.0,0.07999999999999996,7.9999999999999964,5.0,post_hoc_sensitivity
count,Idefics3,LLaVA,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.815,0.785,0.029999999999999916,2.9999999999999916,0.2935206869633099,29.352068696330992,0.031399080579408434,3.1399080579408434,0.29000000000000004,29.000000000000004,0.0,0.0,5.0,post_hoc_sensitivity
presence,Qwen,Skywork,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.895,0.845,0.050000000000000044,5.000000000000004,0.0,0.0,0.015075376884422065,1.5075376884422065,0.0,0.0,0.015000000000000013,1.5000000000000013,5.0,post_hoc_sensitivity
presence,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.895,0.92,0.025000000000000022,2.500000000000002,0.26111111111111107,26.111111111111107,0.02777777777777779,2.777777777777779,0.32999999999999996,32.99999999999999,0.12,12.0,5.0,post_hoc_sensitivity
presence,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.895,0.885,0.010000000000000009,1.0000000000000009,0.020000000000000018,2.0000000000000018,0.0,0.0,0.015000000000000013,1.5000000000000013,0.0050000000000000044,0.5000000000000004,5.0,post_hoc_sensitivity
presence,Gemma,Molmo,gemma3_4b_it,molmo_7b_d_0924,0.75,0.795,0.04500000000000004,4.5000000000000036,0.14270849195472313,14.270849195472312,0.01005025125628145,1.005025125628145,0.14500000000000002,14.500000000000002,0.0050000000000000044,0.5000000000000004,5.0,post_hoc_sensitivity
presence,Gemma,Idefics3,gemma3_4b_it,idefics3_8b_llama3,0.75,0.79,0.040000000000000036,4.0000000000000036,0.398989898989899,39.8989898989899,0.0050000000000000044,0.5000000000000004,0.405,40.5,0.0050000000000000044,0.5000000000000004,5.0,post_hoc_sensitivity
presence,Gemma,InternVL,gemma3_4b_it,internvl3_8b_hf,0.75,0.8,0.050000000000000044,5.000000000000004,0.398989898989899,39.8989898989899,0.0,0.0,0.405,40.5,0.010000000000000009,1.0000000000000009,5.0,post_hoc_sensitivity
presence,Molmo,Skywork,molmo_7b_d_0924,skywork_vl_reward_7b,0.795,0.845,0.04999999999999993,4.999999999999993,0.2562814070351759,25.628140703517587,0.005025125628140614,0.5025125628140614,0.255,25.5,0.0050000000000000044,0.5000000000000004,5.0,post_hoc_sensitivity
presence,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.795,0.79,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.005050251256281446,0.5050251256281446,0.26,26.0,0.010000000000000009,1.0000000000000009,5.0,post_hoc_sensitivity
presence,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.795,0.8,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.26,26.0,0.015000000000000013,1.5000000000000013,5.0,post_hoc_sensitivity
presence,Skywork,LLaVA,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.845,0.885,0.040000000000000036,4.0000000000000036,0.020000000000000018,2.0000000000000018,0.015075376884422065,1.5075376884422065,0.015000000000000013,1.5000000000000013,0.020000000000000018,2.0000000000000018,5.0,post_hoc_sensitivity
presence,Skywork,InternVL,skywork_vl_reward_7b,internvl3_8b_hf,0.845,0.8,0.04499999999999993,4.499999999999993,0.0,0.0,0.015075376884422065,1.5075376884422065,0.0050000000000000044,0.5000000000000004,0.020000000000000018,2.0000000000000018,5.0,post_hoc_sensitivity
presence,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.79,0.8,0.010000000000000009,1.0000000000000009,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0,0.0,0.0050000000000000044,0.5000000000000004,5.0,post_hoc_sensitivity
presence,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.92,0.885,0.03500000000000003,3.500000000000003,0.24111111111111105,24.111111111111107,0.02777777777777779,2.777777777777779,0.31499999999999995,31.499999999999993,0.125,12.5,5.0,post_hoc_sensitivity
spatial,Qwen,Skywork,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.8,0.845,0.04499999999999993,4.499999999999993,0.125,12.5,0.0,0.0,0.125,12.5,0.0,0.0,5.0,post_hoc_sensitivity
spatial,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.8,0.8484848484848485,0.048484848484848464,4.848484848484846,0.5110416666666666,51.104166666666664,0.015625,1.5625,0.53,53.0,0.05500000000000005,5.500000000000005,5.0,post_hoc_sensitivity
spatial,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.8,0.785,0.015000000000000013,1.5000000000000013,0.11499999999999999,11.5,0.0,0.0,0.11499999999999999,11.5,0.0,0.0,5.0,post_hoc_sensitivity
spatial,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.66,0.64,0.020000000000000018,2.0000000000000018,0.15135135135135142,15.135135135135142,0.006756756756756799,0.6756756756756799,0.25500000000000006,25.500000000000007,0.265,26.5,5.0,post_hoc_sensitivity
spatial,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.66,0.685,0.025000000000000022,2.500000000000002,0.5163513513513514,51.63513513513514,0.006756756756756799,0.6756756756756799,0.6200000000000001,62.000000000000014,0.265,26.5,5.0,post_hoc_sensitivity
spatial,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.845,0.8484848484848485,0.003484848484848535,0.3484848484848535,0.38604166666666667,38.604166666666664,0.015625,1.5625,0.40499999999999997,40.5,0.05500000000000005,5.500000000000005,5.0,post_hoc_sensitivity
spatial,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.64,0.685,0.04500000000000004,4.5000000000000036,0.365,36.5,0.0,0.0,0.365,36.5,0.0,0.0,5.0,post_hoc_sensitivity
