model,factor,metric,estimate,ci_low,ci_high,n,bootstrap_reps,seed,sampling_unit
gemma3_4b_it,spatial,U@2,0.81,0.7556298684938136,0.8643701315061865,200,10000,20270915,pool
gemma3_4b_it,spatial,U@4,0.66,0.5943473138401787,0.7256526861598214,200,10000,20270915,pool
gemma3_4b_it,spatial,U@8,0.525,0.4557902102300549,0.5942097897699451,200,10000,20270915,pool
gemma3_4b_it,presence,A,0.75,0.6899875013018122,0.8100124986981878,200,10000,20270915,example
gemma3_4b_it,presence,PFC,0.595,0.5269658335834119,0.6630341664165881,200,10000,20270915,example
gemma3_4b_it,presence,PSC,0.99,0.9762101776661191,1,200,10000,20270915,example
gemma3_4b_it,presence,PFC_cond,0.601010101010101,0.5331424356755737,0.6688777663446283,200,10000,20270915,example
gemma3_4b_it,presence,PSC_cond,1.0,1.0,1,200,10000,20270915,example
gemma3_4b_it,presence,U@2,0.86,0.8119100509461696,0.9080899490538303,200,10000,20270915,pool
gemma3_4b_it,presence,U@4,0.695,0.6311907859318107,0.7588092140681892,200,10000,20270915,pool
gemma3_4b_it,presence,U@8,0.5,0.4307035354437183,0.5692964645562817,200,10000,20270915,pool
molmo_7b_d_0924,count,A,0.625,0.5579039867056171,0.6920960132943829,200,10000,20270915,example
molmo_7b_d_0924,count,PFC,0.095,0.05436248285143395,0.13563751714856606,200,10000,20270915,example
molmo_7b_d_0924,count,PSC,0.495,0.42570700035357106,0.564292999646429,200,10000,20270915,example
molmo_7b_d_0924,count,PFC_cond,0.18627450980392157,0.13231639740997259,0.24023262219787056,200,10000,20270915,example
molmo_7b_d_0924,count,PSC_cond,0.9705882352941176,0.9471718893042845,0.9940045812839507,200,10000,20270915,example
molmo_7b_d_0924,count,U@2,0.735,0.6738343380645644,0.7961656619354356,200,10000,20270915,pool
molmo_7b_d_0924,count,U@4,0.565,0.49629158566812936,0.6337084143318705,200,10000,20270915,pool
molmo_7b_d_0924,count,U@8,0.525,0.4557902102300549,0.5942097897699451,200,10000,20270915,pool
molmo_7b_d_0924,attribute,A,0.67,0.6048318421312986,0.7351681578687015,200,10000,20270915,example
molmo_7b_d_0924,attribute,PFC,0.955,0.9262691141800327,0.9837308858199673,200,10000,20270915,example
molmo_7b_d_0924,attribute,PSC,0.955,0.9262691141800327,0.9837308858199673,200,10000,20270915,example
molmo_7b_d_0924,attribute,PFC_cond,0.9896373056994818,0.9756022078115403,1,200,10000,20270915,example
molmo_7b_d_0924,attribute,PSC_cond,0.9896373056994818,0.9756022078115403,1,200,10000,20270915,example
molmo_7b_d_0924,attribute,U@2,0.82,0.766754335387752,0.873245664612248,200,10000,20270915,pool
molmo_7b_d_0924,attribute,U@4,0.605,0.5372487505650265,0.6727512494349734,200,10000,20270915,pool
molmo_7b_d_0924,attribute,U@8,0.5,0.4307035354437183,0.5692964645562817,200,10000,20270915,pool
molmo_7b_d_0924,spatial,A,0.66,0.5943473138401787,0.7256526861598214,200,10000,20270915,example
molmo_7b_d_0924,spatial,PFC,0.295,0.23179569793123256,0.3582043020687674,200,10000,20270915,example
molmo_7b_d_0924,spatial,PSC,0.735,0.6738343380645644,0.7961656619354356,200,10000,20270915,example
molmo_7b_d_0924,spatial,PFC_cond,0.39864864864864863,0.3307907561677417,0.4665065411295556,200,10000,20270915,example
molmo_7b_d_0924,spatial,PSC_cond,0.9932432432432432,0.9818895272733157,1,200,10000,20270915,example
molmo_7b_d_0924,spatial,U@2,0.675,0.6100865576324904,0.7399134423675097,200,10000,20270915,pool
molmo_7b_d_0924,spatial,U@4,0.475,0.40579021023005485,0.544209789769945,200,10000,20270915,pool
molmo_7b_d_0924,spatial,U@8,0.34,0.27434731384017863,0.4056526861598214,200,10000,20270915,pool
molmo_7b_d_0924,presence,A,0.795,0.7390498096517983,0.8509501903482017,200,10000,20270915,example
molmo_7b_d_0924,presence,PFC,0.74,0.6792083953164584,0.8007916046835416,200,10000,20270915,example
molmo_7b_d_0924,presence,PSC,0.985,0.9681536888310823,1,200,10000,20270915,example
molmo_7b_d_0924,presence,PFC_cond,0.7437185929648241,0.6832118267242633,0.804225359205385,200,10000,20270915,example
molmo_7b_d_0924,presence,PSC_cond,0.9899497487437185,0.9761256728938031,1,200,10000,20270915,example
molmo_7b_d_0924,presence,U@2,0.79,0.7335499583702545,0.8464500416297456,200,10000,20270915,pool
molmo_7b_d_0924,presence,U@4,0.66,0.5943473138401787,0.7256526861598214,200,10000,20270915,pool
molmo_7b_d_0924,presence,U@8,0.525,0.4557902102300549,0.5942097897699451,200,10000,20270915,pool
skywork_vl_reward_7b,count,A,0.76,0.7008092980274774,0.8191907019725226,200,10000,20270915,example
skywork_vl_reward_7b,count,PFC,0.625,0.5579039867056171,0.6920960132943829,200,10000,20270915,example
skywork_vl_reward_7b,count,PSC,0.985,0.9681536888310823,1,200,10000,20270915,example
skywork_vl_reward_7b,count,PFC_cond,0.628140703517588,0.5611585874444185,0.6951228195907575,200,10000,20270915,example
skywork_vl_reward_7b,count,PSC_cond,0.9899497487437185,0.9761256728938031,1,200,10000,20270915,example
skywork_vl_reward_7b,count,U@2,0.87,0.823390721953671,0.916609278046329,200,10000,20270915,pool
skywork_vl_reward_7b,count,U@4,0.73,0.6684703583628183,0.7915296416371816,200,10000,20270915,pool
skywork_vl_reward_7b,count,U@8,0.61,0.5424013077049563,0.6775986922950437,200,10000,20270915,pool
skywork_vl_reward_7b,attribute,A,0.93,0.8946384276367694,0.9653615723632307,200,10000,20270915,example
skywork_vl_reward_7b,attribute,PFC,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,attribute,PSC,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,attribute,PFC_cond,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,attribute,PSC_cond,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,attribute,U@2,0.95,0.919794371385452,0.980205628614548,200,10000,20270915,pool
skywork_vl_reward_7b,attribute,U@4,0.905,0.864362482851434,0.945637517148566,200,10000,20270915,pool
skywork_vl_reward_7b,attribute,U@8,0.865,0.8176395291408541,0.9123604708591458,200,10000,20270915,pool
skywork_vl_reward_7b,spatial,A,0.845,0.7948425698425448,0.8951574301574552,200,10000,20270915,example
skywork_vl_reward_7b,spatial,PFC,0.86,0.8119100509461696,0.9080899490538303,200,10000,20270915,example
skywork_vl_reward_7b,spatial,PSC,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,spatial,PFC_cond,0.86,0.8119100509461696,0.9080899490538303,200,10000,20270915,example
skywork_vl_reward_7b,spatial,PSC_cond,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,spatial,U@2,0.885,0.8407858144935362,0.9292141855064638,200,10000,20270915,pool
skywork_vl_reward_7b,spatial,U@4,0.8,0.7445628283549747,0.8554371716450254,200,10000,20270915,pool
skywork_vl_reward_7b,spatial,U@8,0.695,0.6311907859318107,0.7588092140681892,200,10000,20270915,pool
skywork_vl_reward_7b,presence,A,0.845,0.7948425698425448,0.8951574301574552,200,10000,20270915,example
skywork_vl_reward_7b,presence,PFC,0.995,0.9852245307018026,1,200,10000,20270915,example
skywork_vl_reward_7b,presence,PSC,0.98,0.9605969899242411,0.9994030100757588,200,10000,20270915,example
skywork_vl_reward_7b,presence,PFC_cond,1.0,1.0,1,200,10000,20270915,example
skywork_vl_reward_7b,presence,PSC_cond,0.9849246231155779,0.9680366837834246,1,200,10000,20270915,example
skywork_vl_reward_7b,presence,U@2,0.965,0.9395294248200006,0.9904705751799994,200,10000,20270915,pool
skywork_vl_reward_7b,presence,U@4,0.91,0.8703372315640978,0.9496627684359022,200,10000,20270915,pool
skywork_vl_reward_7b,presence,U@8,0.835,0.7835570004762552,0.8864429995237447,200,10000,20270915,pool
