factor,model_1,model_2,delta_A,delta_A_pp,A_ci95_pp_lo,A_ci95_pp_hi,A_excludes_zero,A_n,delta_RA,delta_RA_pp,RA_ci95_pp_lo,RA_ci95_pp_hi,RA_excludes_zero,RA_n,delta_II,delta_II_pp,II_ci95_pp_lo,II_ci95_pp_hi,II_excludes_zero,II_n,delta_PFC,delta_PFC_pp,PFC_ci95_pp_lo,PFC_ci95_pp_hi,PFC_excludes_zero,PFC_n,delta_PSC,delta_PSC_pp,PSC_ci95_pp_lo,PSC_ci95_pp_hi,PSC_excludes_zero,PSC_n,delta_U8,delta_U8_pp,U8_ci95_pp_lo,U8_ci95_pp_hi,U8_excludes_zero,U8_n
spatial,Skywork,Phi,-0.005050505050505083,-0.5050505050505083,-6.060606060606055,5.05050505050505,False,198,0.38604166666666667,38.604166666666664,29.776451684397152,47.22978776737967,True,200,0.015625,1.5625,0.0,3.6082474226804107,False,200,0.40499999999999997,40.5,31.999999999999996,49.0,True,200,0.05500000000000005,5.500000000000005,2.500000000000002,8.999999999999996,True,200,0.16499999999999992,16.499999999999993,8.499999999999996,24.5,True,200
presence,Molmo,Idefics3,0.0050000000000000044,0.5000000000000004,-6.499999999999995,7.499999999999996,False,200,-0.2562814070351759,-25.628140703517587,-31.658291457286435,-19.59798994974874,True,200,-0.005050251256281446,-0.5050251256281446,-2.0408163265306145,1.0000000000000009,False,200,-0.26,-26.0,-32.49999999999999,-19.999999999999996,True,200,-0.010000000000000009,-1.0000000000000009,-3.0000000000000027,1.0000000000000009,False,200,-0.015000000000000013,-1.5000000000000013,-9.499999999999996,6.499999999999995,False,200
presence,Molmo,InternVL,-0.0050000000000000044,-0.5000000000000004,-6.000000000000005,5.499999999999994,False,200,-0.2562814070351759,-25.628140703517587,-31.818181818181824,-19.59798994974874,True,200,-0.01005025125628145,-1.005025125628145,-2.5252525252525304,0.0,False,200,-0.26,-26.0,-31.999999999999996,-19.999999999999996,True,200,-0.015000000000000013,-1.5000000000000013,-3.500000000000003,0.0,False,200,-0.18999999999999995,-18.999999999999993,-26.499999999999996,-12.0,True,200
attribute,Phi,LLaVA,0.0,0.0,-5.499999999999994,5.499999999999994,False,200,-0.15053763440860213,-15.053763440860212,-20.430107526881724,-10.213688114542025,True,200,-0.10752688172043012,-10.752688172043012,-15.463917525773196,-6.417112299465244,True,200,-0.20999999999999996,-20.999999999999996,-27.0,-15.500000000000004,True,200,-0.17000000000000004,-17.000000000000004,-22.499999999999996,-12.0,True,200,-0.019999999999999907,-1.9999999999999907,-7.9999999999999964,4.0000000000000036,False,200
presence,Qwen,LLaVA,0.010000000000000009,1.0000000000000009,-3.0000000000000027,5.000000000000004,False,200,0.020000000000000018,2.0000000000000018,0.5000000000000004,4.0000000000000036,True,200,0.0,0.0,0.0,0.0,False,200,0.015000000000000013,1.5000000000000013,-0.5000000000000004,4.0000000000000036,False,200,-0.0050000000000000044,-0.5000000000000004,-1.5000000000000013,0.0,False,200,0.1449999999999999,14.499999999999991,7.9999999999999964,21.499999999999996,True,200
count,Molmo,Phi,-0.010000000000000009,-1.0000000000000009,-6.500000000000005,4.5000000000000036,False,200,-0.013725490196078438,-1.3725490196078438,-10.2290072826809,7.549811065395651,False,200,0.019073083778966105,1.9073083778966105,-2.682847201159302,6.397876798693623,False,200,-0.07,-7.000000000000001,-13.5,-0.5000000000000004,True,200,-0.29000000000000004,-29.000000000000004,-35.5,-23.0,True,200,0.03500000000000003,3.500000000000003,-3.499999999999992,10.000000000000004,False,200
presence,Idefics3,InternVL,-0.010000000000000009,-1.0000000000000009,-6.999999999999995,5.000000000000004,False,200,0.0,0.0,0.0,0.0,False,200,-0.0050000000000000044,-0.5000000000000004,-1.5000000000000013,0.0,False,200,0.0,0.0,0.0,0.0,False,200,-0.0050000000000000044,-0.5000000000000004,-1.5000000000000013,0.0,False,200,-0.17499999999999993,-17.499999999999993,-25.0,-9.999999999999998,True,200
