epsilon_pp,factor,model_a,model_b,A_S_a,A_S_b,delta_A_S_pp,delta_RA_pp,delta_II_pp,delta_PFC_pp,delta_PSC_pp,predeclared_1pp
1.0,attribute,Phi,LLaVA,0.805,0.805,0.0,15.053763440860212,10.752688172043012,20.999999999999996,17.000000000000004,True
1.0,count,Molmo,Phi,0.625,0.635,1.0000000000000009,1.3725490196078438,1.9073083778966105,7.000000000000001,29.000000000000004,True
1.0,presence,Qwen,LLaVA,0.895,0.885,1.0000000000000009,2.0000000000000018,0.0,1.5000000000000013,0.5000000000000004,True
1.0,presence,Molmo,Idefics3,0.795,0.79,0.5000000000000004,25.628140703517587,0.5050251256281446,26.0,1.0000000000000009,True
1.0,presence,Molmo,InternVL,0.795,0.8,0.5000000000000004,25.628140703517587,1.005025125628145,26.0,1.5000000000000013,True
1.0,presence,Idefics3,InternVL,0.79,0.8,1.0000000000000009,0.0,0.5000000000000004,0.0,0.5000000000000004,True
1.0,spatial,Skywork,Phi,0.845,0.8484848484848485,0.3484848484848535,38.604166666666664,1.5625,40.5,5.500000000000005,True
