model_id,display,n_pair_rows,n_pools,abstention_rate,reciprocal_pairs_observed,reciprocal_consistency_rate,reciprocal_note,triangle_cycle_rate,mean_cycle_triples,transitivity_violation_rate,condorcet_winner_frequency,mean_copeland_top_margin,selection_stability_N2_eq_N8,selection_stability_N4_eq_N8,selection_stability_N2_eq_N4,semantic_abstention_events,role
qwen3_vl_4b_instruct,Qwen,22400,800,0.0,0,,single-orientation storage; reverse-order queries were not collected,0.62125,2.21125,0.03948660714285714,0.92375,1.1,0.7375,0.7975,0.86,0,exploratory_only
gemma3_4b_it,Gemma,22400,800,0.0,0,,single-orientation storage; reverse-order queries were not collected,0.75625,3.0225,0.05397321428571429,0.81375,1.04875,0.5475,0.6725,0.755,0,exploratory_only
molmo_7b_d_0924,Molmo,22400,800,0.0,0,,single-orientation storage; reverse-order queries were not collected,0.9575,8.895,0.1588392857142857,0.46125,1.1125,0.525,0.615,0.66375,0,exploratory_only
skywork_vl_reward_7b,Skywork,22400,800,0.0,0,,single-orientation storage; reverse-order queries were not collected,0.0,0.0,0.0,1.0,1.0,0.79,0.86625,0.89125,0,exploratory_only
idefics3_8b_llama3,Idefics3,22400,800,0.0002232142857142857,0,,single-orientation storage; reverse-order queries were not collected,0.6525,2.33125,0.04165178571428571,0.86875,1.075,0.6425,0.72875,0.8175,6,exploratory_only
phi35_vision_instruct,Phi,22400,800,0.002589285714285714,0,,single-orientation storage; reverse-order queries were not collected,0.83125,4.93625,0.08816964285714285,0.72125,1.13,0.64125,0.71125,0.8,69,exploratory_only
llava_onevision_qwen2_7b,LLaVA,22400,800,0.0,0,,single-orientation storage; reverse-order queries were not collected,0.5775,1.83375,0.03274553571428571,0.90375,1.07125,0.68875,0.78,0.85125,0,exploratory_only
internvl3_8b_hf,InternVL,22400,800,0.0,0,,single-orientation storage; reverse-order queries were not collected,0.745,3.2125,0.057366071428571426,0.8825,1.16125,0.7125,0.80125,0.84875,0,exploratory_only
