factor,delta_mae,conditional_family_bootstrap_ci95
count,-0.012950199057306239,"[-0.03572477958159731, 0.006281918222263899]"
attribute,0.024243490720799996,"[0.006736546551165373, 0.037081100858026045]"
presence,-0.032632998441374614,"[-0.08033420647494063, 0.005444302569233506]"
spatial,-0.033253082060988357,"[-0.06971519756637505, 0.0007861197174036244]"
