factor,threshold_pp,model_a,model_b,delta_A_pp,delta_PFC,delta_PSC,delta_U8
count,3,qwen3_vl_4b_instruct,gemma3_4b_it,2.1570790485166746,0.17104728194481045,0.08219182571441419,-0.038300826034243785
count,1,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.5738633268247972,-0.0034574490986991613,0.1434188115714493,0.008066521231147261
count,2,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.5738633268247972,-0.0034574490986991613,0.1434188115714493,0.008066521231147261
count,3,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.5738633268247972,-0.0034574490986991613,0.1434188115714493,0.008066521231147261
count,2,qwen3_vl_4b_instruct,idefics3_8b_llama3,1.2921618929595424,-0.0049415436782330735,0.06061217950112863,-0.064239293973272
count,3,qwen3_vl_4b_instruct,idefics3_8b_llama3,1.2921618929595424,-0.0049415436782330735,0.06061217950112863,-0.064239293973272
count,2,qwen3_vl_4b_instruct,phi35_vision_instruct,1.3966677217305712,0.09681879085845035,0.11992533704806141,-0.038941195954453556
count,3,qwen3_vl_4b_instruct,phi35_vision_instruct,1.3966677217305712,0.09681879085845035,0.11992533704806141,-0.038941195954453556
count,1,qwen3_vl_4b_instruct,internvl3_8b_hf,0.9890134901731074,0.09798345460969393,0.14606754650261078,-0.008288817531001857
count,2,qwen3_vl_4b_instruct,internvl3_8b_hf,0.9890134901731074,0.09798345460969393,0.14606754650261078,-0.008288817531001857
count,3,qwen3_vl_4b_instruct,internvl3_8b_hf,0.9890134901731074,0.09798345460969393,0.14606754650261078,-0.008288817531001857
count,2,gemma3_4b_it,molmo_7b_d_0924,1.5832157216918774,-0.1745047310435096,0.06122698585703512,0.046367347265391046
count,3,gemma3_4b_it,molmo_7b_d_0924,1.5832157216918774,-0.1745047310435096,0.06122698585703512,0.046367347265391046
count,2,gemma3_4b_it,skywork_vl_reward_7b,1.256480408242766,-0.05856377593896167,0.09788193087493635,-0.08734775239944537
count,3,gemma3_4b_it,skywork_vl_reward_7b,1.256480408242766,-0.05856377593896167,0.09788193087493635,-0.08734775239944537
count,1,gemma3_4b_it,idefics3_8b_llama3,0.8649171555571322,-0.17598882562304352,-0.021579646213285564,-0.02593846793902821
count,2,gemma3_4b_it,idefics3_8b_llama3,0.8649171555571322,-0.17598882562304352,-0.021579646213285564,-0.02593846793902821
count,3,gemma3_4b_it,idefics3_8b_llama3,0.8649171555571322,-0.17598882562304352,-0.021579646213285564,-0.02593846793902821
count,3,gemma3_4b_it,llava_onevision_qwen2_7b,2.2614617600897335,-0.07891461490180263,0.06391151037816512,-0.11130643070139423
count,3,molmo_7b_d_0924,skywork_vl_reward_7b,2.8396961299346435,0.11594095510454794,0.03665494501790123,-0.1337150996648364
count,1,molmo_7b_d_0924,idefics3_8b_llama3,0.7182985661347452,-0.0014840945795339122,-0.08280663207032068,-0.07230581520441925
count,2,molmo_7b_d_0924,idefics3_8b_llama3,0.7182985661347452,-0.0014840945795339122,-0.08280663207032068,-0.07230581520441925
count,3,molmo_7b_d_0924,idefics3_8b_llama3,0.7182985661347452,-0.0014840945795339122,-0.08280663207032068,-0.07230581520441925
count,2,molmo_7b_d_0924,phi35_vision_instruct,1.9705310485553684,0.10027623995714952,-0.023493474523387903,-0.04700771718560082
count,3,molmo_7b_d_0924,phi35_vision_instruct,1.9705310485553684,0.10027623995714952,-0.023493474523387903,-0.04700771718560082
count,2,molmo_7b_d_0924,internvl3_8b_hf,1.5628768169979046,0.1014409037083931,0.002648734931161467,-0.01635533876214912
count,3,molmo_7b_d_0924,internvl3_8b_hf,1.5628768169979046,0.1014409037083931,0.002648734931161467,-0.01635533876214912
count,3,skywork_vl_reward_7b,idefics3_8b_llama3,2.1213975637998983,-0.11742504968408185,-0.11946157708822192,0.06140928446041716
count,2,skywork_vl_reward_7b,llava_onevision_qwen2_7b,1.0049813518469675,-0.020350838962840956,-0.033970420496771236,-0.023958678301948866
count,3,skywork_vl_reward_7b,llava_onevision_qwen2_7b,1.0049813518469675,-0.020350838962840956,-0.033970420496771236,-0.023958678301948866
count,3,idefics3_8b_llama3,phi35_vision_instruct,2.6888296146901136,0.10176033453668343,0.05931315754693278,0.025298098018818438
count,3,idefics3_8b_llama3,internvl3_8b_hf,2.28117538313265,0.102924998287927,0.08545536700148215,0.055950476442270136
count,1,phi35_vision_instruct,internvl3_8b_hf,0.40765423155746383,0.0011646637512435776,0.02614220945454937,0.0306523784234517
count,2,phi35_vision_instruct,internvl3_8b_hf,0.40765423155746383,0.0011646637512435776,0.02614220945454937,0.0306523784234517
count,3,phi35_vision_instruct,internvl3_8b_hf,0.40765423155746383,0.0011646637512435776,0.02614220945454937,0.0306523784234517
attribute,3,qwen3_vl_4b_instruct,gemma3_4b_it,2.8555537080067306,0.07863769018054523,0.12353452025996148,0.11182833497838929
attribute,2,qwen3_vl_4b_instruct,molmo_7b_d_0924,1.9919999497509444,-0.0459338273761819,0.09237295987078942,0.14496722638850357
attribute,3,qwen3_vl_4b_instruct,molmo_7b_d_0924,1.9919999497509444,-0.0459338273761819,0.09237295987078942,0.14496722638850357
attribute,1,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.6534110030051221,0.1325216867588362,0.10820113861099812,0.1106322450306142
attribute,2,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.6534110030051221,0.1325216867588362,0.10820113861099812,0.1106322450306142
attribute,3,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.6534110030051221,0.1325216867588362,0.10820113861099812,0.1106322450306142
attribute,2,qwen3_vl_4b_instruct,internvl3_8b_hf,1.6872338994128766,-0.009131861137586572,-0.0055374997724912944,-0.0035235484387879934
attribute,3,qwen3_vl_4b_instruct,internvl3_8b_hf,1.6872338994128766,-0.009131861137586572,-0.0055374997724912944,-0.0035235484387879934
attribute,1,gemma3_4b_it,molmo_7b_d_0924,0.8635537582557862,-0.12457151755672713,-0.03116156038917206,0.03313889141011428
attribute,2,gemma3_4b_it,molmo_7b_d_0924,0.8635537582557862,-0.12457151755672713,-0.03116156038917206,0.03313889141011428
attribute,3,gemma3_4b_it,molmo_7b_d_0924,0.8635537582557862,-0.12457151755672713,-0.03116156038917206,0.03313889141011428
attribute,1,gemma3_4b_it,skywork_vl_reward_7b,0.8522693911233281,-0.18876261475380152,-0.20721998789289797,-0.09398928545905427
attribute,2,gemma3_4b_it,skywork_vl_reward_7b,0.8522693911233281,-0.18876261475380152,-0.20721998789289797,-0.09398928545905427
attribute,3,gemma3_4b_it,skywork_vl_reward_7b,0.8522693911233281,-0.18876261475380152,-0.20721998789289797,-0.09398928545905427
attribute,3,gemma3_4b_it,phi35_vision_instruct,2.5724070712039637,-0.16053622886648733,-0.05372369576740377,0.003401652524778309
attribute,2,gemma3_4b_it,internvl3_8b_hf,1.168319808593854,-0.0877695513181318,-0.12907202003245277,-0.11535188341717728
attribute,3,gemma3_4b_it,internvl3_8b_hf,1.168319808593854,-0.0877695513181318,-0.12907202003245277,-0.11535188341717728
attribute,2,gemma3_4b_it,llava_onevision_qwen2_7b,1.0865821017662314,-0.009053566276200686,-0.1261857318193076,-0.05684952835922885
attribute,3,gemma3_4b_it,llava_onevision_qwen2_7b,1.0865821017662314,-0.009053566276200686,-0.1261857318193076,-0.05684952835922885
attribute,2,molmo_7b_d_0924,skywork_vl_reward_7b,1.7158231493791143,-0.06419109719707439,-0.1760584275037259,-0.12712817686916855
attribute,3,molmo_7b_d_0924,skywork_vl_reward_7b,1.7158231493791143,-0.06419109719707439,-0.1760584275037259,-0.12712817686916855
attribute,3,molmo_7b_d_0924,idefics3_8b_llama3,2.6454109527560665,0.1784555141350181,0.015828178740208698,-0.03433498135788937
attribute,1,molmo_7b_d_0924,internvl3_8b_hf,0.3047660503380678,0.03680196623859533,-0.09791045964328071,-0.14849077482729156
attribute,2,molmo_7b_d_0924,internvl3_8b_hf,0.3047660503380678,0.03680196623859533,-0.09791045964328071,-0.14849077482729156
attribute,3,molmo_7b_d_0924,internvl3_8b_hf,0.3047660503380678,0.03680196623859533,-0.09791045964328071,-0.14849077482729156
attribute,2,molmo_7b_d_0924,llava_onevision_qwen2_7b,1.9501358600220176,0.11551795128052644,-0.09502417143013553,-0.08998841976934313
attribute,3,molmo_7b_d_0924,llava_onevision_qwen2_7b,1.9501358600220176,0.11551795128052644,-0.09502417143013553,-0.08998841976934313
attribute,2,skywork_vl_reward_7b,phi35_vision_instruct,1.7201376800806356,0.028226385887314187,0.1534962921254942,0.09739093798383258
attribute,3,skywork_vl_reward_7b,phi35_vision_instruct,1.7201376800806356,0.028226385887314187,0.1534962921254942,0.09739093798383258
attribute,3,skywork_vl_reward_7b,internvl3_8b_hf,2.020589199717182,0.10099306343566972,0.0781479678604452,-0.02136259795812301
attribute,1,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.23431271064290327,0.17970904847760083,0.08103425607359038,0.03713975709982542
attribute,2,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.23431271064290327,0.17970904847760083,0.08103425607359038,0.03713975709982542
attribute,3,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.23431271064290327,0.17970904847760083,0.08103425607359038,0.03713975709982542
attribute,3,idefics3_8b_llama3,internvl3_8b_hf,2.3406449024179987,-0.14165354789642276,-0.11373863838348941,-0.11415579346940219
attribute,2,phi35_vision_instruct,llava_onevision_qwen2_7b,1.4858249694377323,0.15148266259028664,-0.07246203605190382,-0.06025118088400716
attribute,3,phi35_vision_instruct,llava_onevision_qwen2_7b,1.4858249694377323,0.15148266259028664,-0.07246203605190382,-0.06025118088400716
attribute,3,internvl3_8b_hf,llava_onevision_qwen2_7b,2.2549019103600854,0.07871598504193111,0.002886288213145183,0.05850235505794843
presence,3,qwen3_vl_4b_instruct,gemma3_4b_it,2.695262469262527,0.170485051909103,0.1353376413049241,-0.0997939438536557
